# X,Y,Penetration Depth,Frames to Capture
3.00,10.00,3.00,30.00
3.50,10.00,3.00,30.00
4.00,10.00,3.00,30.00
4.50,10.00,3.00,30.00
5.00,10.00,3.00,30.00
5.50,10.00,3.00,30.00
6.00,10.00,3.00,30.00
6.50,10.00,3.00,30.00
7.00,10.00,3.00,30.00
7.50,10.00,3.00,30.00
8.00,10.00,3.00,30.00
8.50,10.00,3.00,30.00
9.00,10.00,3.00,30.00
9.50,10.00,3.00,30.00
10.00,10.00,3.00,30.00
10.50,10.00,3.00,30.00
11.00,10.00,3.00,30.00
11.50,10.00,3.00,30.00
12.00,10.00,3.00,30.00
12.50,10.00,3.00,30.00
13.00,10.00,3.00,30.00
13.50,10.00,3.00,30.00
14.00,10.00,3.00,30.00
14.50,10.00,3.00,30.00
15.00,10.00,3.00,30.00
15.50,10.00,3.00,30.00
16.00,10.00,3.00,30.00
16.50,10.00,3.00,30.00
17.00,10.00,3.00,30.00
17.50,10.00,3.00,30.00
18.00,10.00,3.00,30.00
18.50,10.00,3.00,30.00
19.00,10.00,3.00,30.00
0.00,10.50,3.00,30.00
0.50,10.50,3.00,30.00
1.00,10.50,3.00,30.00
1.50,10.50,3.00,30.00
2.00,10.50,3.00,30.00
2.50,10.50,3.00,30.00
3.00,10.50,3.00,30.00
3.50,10.50,3.00,30.00
4.00,10.50,3.00,30.00
4.50,10.50,3.00,30.00
5.00,10.50,3.00,30.00
5.50,10.50,3.00,30.00
6.00,10.50,3.00,30.00
6.50,10.50,3.00,30.00
7.00,10.50,3.00,30.00
7.50,10.50,3.00,30.00
8.00,10.50,3.00,30.00
8.50,10.50,3.00,30.00
9.00,10.50,3.00,30.00
9.50,10.50,3.00,30.00
10.00,10.50,3.00,30.00
10.50,10.50,3.00,30.00
11.00,10.50,3.00,30.00
11.50,10.50,3.00,30.00
12.00,10.50,3.00,30.00
12.50,10.50,3.00,30.00
13.00,10.50,3.00,30.00
13.50,10.50,3.00,30.00
14.00,10.50,3.00,30.00
14.50,10.50,3.00,30.00
15.00,10.50,3.00,30.00
15.50,10.50,3.00,30.00
16.00,10.50,3.00,30.00
16.50,10.50,3.00,30.00
17.00,10.50,3.00,30.00
17.50,10.50,3.00,30.00
18.00,10.50,3.00,30.00
18.50,10.50,3.00,30.00
19.00,10.50,3.00,30.00
0.00,11.00,3.00,30.00
0.50,11.00,3.00,30.00
1.00,11.00,3.00,30.00
1.50,11.00,3.00,30.00
2.00,11.00,3.00,30.00
2.50,11.00,3.00,30.00
3.00,11.00,3.00,30.00
3.50,11.00,3.00,30.00
